name,year,claims,market claims,solved mean,market mean solved,response mean,market response mean,mean days,mean days market
ZURICH SANTANDER SEGUROS CHILE,2019,60,88503,14.3,51.9,100,97.7,5,6
ZURICH SANTANDER SEGUROS CHILE,2020,75,118409,27.8,48.9,100,97.5,6,6
ZURICH SANTANDER SEGUROS CHILE,2021,48,91793,29.5,48.1,97.8,98,5,5
ZURICH SANTANDER SEGUROS CHILE,2022,94,113259,35.2,50.8,100,97.5,5,6
ZENIT SEGUROS,2019,142,88503,38.8,51.9,100,97.7,6,6
ZENIT SEGUROS,2020,178,118409,42.6,48.9,100,97.5,7,6
ZENIT SEGUROS,2021,198,91793,40.6,48.1,98.9,98,8,5
ZENIT SEGUROS,2022,506,113259,40.5,50.8,99.6,97.5,12,6
VIDA SECURITY,2019,75,88503,33.8,51.9,100,97.7,6,6
VIDA SECURITY,2020,76,118409,37.8,48.9,100,97.5,6,6
VIDA SECURITY,2021,62,91793,50,48.1,100,98,5,5
VIDA SECURITY,2022,86,113259,72.3,50.8,100,97.5,5,6
UNIMARC SEGUROS,2019,171,88503,75.3,51.9,100,97.7,5,6
UNIMARC SEGUROS,2020,72,110614,84.7,49.1,100,97.5,6,6
UNIMARC SEGUROS,2021,25,76468,62.5,48.2,100,98.1,5,5
UNIMARC SEGUROS,2022,26,104115,60,51,100,97.5,5,6
TARJETA TRICOT,2019,521,88503,56.8,51.9,99.4,97.7,5,6
TARJETA TRICOT,2020,645,118409,51.6,48.9,100,97.5,6,6
TARJETA TRICOT,2021,419,91793,53.4,48.1,99.5,98,6,5
TARJETA TRICOT,2022,569,113259,50.4,50.8,99.5,97.5,6,6
TARJETA SALCOBRAND,2019,950,88503,74.8,51.9,100,97.7,5,6
TARJETA SALCOBRAND,2020,953,118409,77.9,48.9,100,97.5,5,6
TARJETA SALCOBRAND,2021,700,91793,80,48.1,100,98,4,5
TARJETA SALCOBRAND,2022,497,113259,51.5,50.8,100,97.5,3,6
TARJETA RIPLEY,2019,4061,88503,55.8,51.9,100,97.7,6,6
TARJETA RIPLEY,2020,5333,118409,54.9,48.9,100,97.5,4,6
TARJETA RIPLEY,2021,4392,91793,57,48.1,100,98,4,5
TARJETA RIPLEY,2022,5060,113259,54.3,50.8,99.9,97.5,5,6
TARJETA LÍDER BCI,2019,3344,88503,50.1,51.9,100,97.7,2,6
TARJETA LÍDER BCI,2020,2733,118409,56.2,48.9,100,97.5,4,6
TARJETA LÍDER BCI,2021,2100,91793,62.2,48.1,100,98,4,5
TARJETA LÍDER BCI,2022,2798,113259,57.7,50.8,99.9,97.5,4,6
TARJETA LA POLAR,2019,2885,88503,68.6,51.9,99.7,97.7,3,6
TARJETA LA POLAR,2020,3937,118409,58.4,48.9,97.2,97.5,4,6
TARJETA LA POLAR,2021,3444,91793,66.8,48.1,99.3,98,2,5
