name,year,claims,market claims,solved mean,market mean solved,response mean,market response mean,mean days,mean days market
AUTOFIN,2019,126,88503,70.7,51.9,100,97.7,6,6
AUTOFIN,2020,176,118409,64.1,48.9,100,97.5,7,6
AUTOFIN,2021,130,91793,66.4,48.1,100,98.0,6,5
AUTOFIN,2022,147,113259,47.8,50.8,100,97.5,7,6
BANCO BCI,2019,2954,88503,56.4,51.9,99.7,97.7,5,6
BANCO BCI,2020,3573,118409,55.1,48.9,99.5,97.5,5,6
BANCO BCI,2021,2805,91793,59.6,48.1,99.3,98.0,4,5
BANCO BCI,2022,2418,113259,65.4,50.8,99.7,97.5,6,6
BANCO BICE,2019,113,88503,41.1,51.9,100,97.7,6,6
BANCO BICE,2020,123,118409,56.0,48.9,98.3,97.5,5,6
BANCO BICE,2021,91,91793,69.0,48.1,100,98.0,5,5
BANCO BICE,2022,92,113259,69.7,50.8,100,97.5,3,6
BANCO CONSORCIO,2019,166,88503,76.9,51.9,87.2,97.7,7,6
BANCO CONSORCIO,2020,262,118409,80.6,48.9,99.2,97.5,10,6
BANCO CONSORCIO,2021,192,91793,79.6,48.1,99.5,98.0,7,5
BANCO CONSORCIO,2022,111,113259,86.0,50.8,100,97.5,6,6
BANCO DE CHILE - CREDICHILE - BANCO EDWARDS,2019,3360,88503,35.1,51.9,99.9,97.7,7,6
BANCO DE CHILE - CREDICHILE - BANCO EDWARDS,2020,3022,118409,45.9,48.9,100,97.5,8,6
BANCO DE CHILE - CREDICHILE - BANCO EDWARDS,2021,2824,91793,52.8,48.1,99.8,98.0,8,5
BANCO DE CHILE - CREDICHILE - BANCO EDWARDS,2022,2698,113259,58.7,50.8,100,97.5,9,6
BANCO FALABELLA,2019,1791,88503,47.2,51.9,99.9,97.7,6,6
BANCO FALABELLA,2020,3788,118409,45.6,48.9,99.9,97.5,5,6
BANCO FALABELLA,2021,4053,91793,44.5,48.1,99.9,98.0,4,5
BANCO FALABELLA,2022,13278,113259,35.3,50.8,99.9,97.5,5,6
BANCO INTERNACIONAL,2019,20,88503,52.6,51.9,95.0,97.7,5,6
BANCO INTERNACIONAL,2020,24,118409,52.2,48.9,100,97.5,5,6
BANCO INTERNACIONAL,2021,27,91793,73.1,48.1,100,98.0,5,5
BANCO INTERNACIONAL,2022,36,113259,44.1,50.8,100,97.5,5,6
BANCO ITAU,2019,2415,88503,70.2,51.9,99.9,97.7,6,6
BANCO ITAU,2020,2648,118409,63.5,48.9,100,97.5,6,6
BANCO ITAU,2021,1810,91793,64.1,48.1,100,98.0,6,5
BANCO ITAU,2022,1664,113259,71.2,50.8,99.9,97.5,7,6
BANCO RIPLEY,2019,379,88503,53.4,51.9,100,97.7,6,6
BANCO RIPLEY,2020,640,118409,43.8,48.9,99.8,97.5,4,6
BANCO RIPLEY,2021,554,91793,56.9,48.1,99.8,98.0,4,5
BANCO RIPLEY,2022,869,113259,60.6,50.8,100,97.5,4,6
BANCO SANTANDER,2019,3347,88503,30.0,51.9,99.8,97.7,6,6
BANCO SANTANDER,2020,4423,118409,31.5,48.9,99.9,97.5,8,6
